Artist,Title,Grammar,Vocabulary,Culture,Country,Other,,,,,,
Disney,Bésala,,,Little Mermaid,,http://www.youtube.com/watch?v=ZTTYFC2tjsU&feature=related,,,,,,
Disney,Ciclo sin fin,,,Lion King,,http://www.youtube.com/watch?v=3yEDpdqafUk&feature=related,,,,,,
Disney,"Frozen in Spanish, Let It Go, 3 versions",,,3 versions of Frozen in Spanish,"México, Spain, Argentina",http://www.billboard.com/articles/columns/latin-notas/5923085/frozen-en-espanol-which-spanish-version-of-let-it-go-is-best,,,,,,
Disney,Hakuna Matata,,,Lion King,,http://www.youtube.com/watch?v=i-D1DWV9y5Y&feature=related,,,,,,
Disney,Un Mundo Ideal,,,Aladdin,,http://www.youtube.com/watch?v=SuumL5lQBss&feature=related,,,,,,
Disney Junior,A Que huele en el barco,oler,food,,Spain,http://www.youtube.com/watch?v=RMYLN45XUgQ,,,,,,
Disney/Phil Collins,En mi corazón vivirás,,,Tarzan,England  ,http://www.youtube.com/watch?v=ULgFbLhO7j8&feature=related,,,,,,
Divino,Mi vida,conditional; past subjunctive,,good song for sequencing of tenses; real name Daniel Velazquez,Puerto Rico,http://www.youtube.com/watch?v=6ZGGd0CavwY ; ,,,,,,
"Dixon, Shel",Cansado,,cansado,,Guinea Ecuatorial,http://www.youtube.com/watch?feature=player_embedded&v=ViAyXEa-D0c#!,,,,,,
"Dixon, Shel",Madre Tierra,present progressive,,"environment, caring for the earth",Costa Rica,https://www.youtube.com/watch?v=GTRJVEZ0GKg,,,,,,
"Dize, Tony",Quizás,"gerunds, preterite, present indicative",,"s on the tú preterite; born in Boston, Puerto Rican parents",U.S. ,http://www.youtube.com/watch?v=t3uEBgdNrTk&feature=related,,,,,,
DJ Mam's feat Luis Guisao ,Fiesta Buena,,,"good beat, kids like it, mostly nonsense",Spain,http://www.youtube.com/watch?feature=player_embedded&v=7QZ7KEa-qjM,,,,,,
DJ Rags y Bernie Mac y MC Luka,Lupitas Taco shop,,food,cultural references/images Mexico,México,http://www.youtube.com/watch?feature=player_embedded&v=-VKm3k7rzBI,,,,,,
DLD,Por siempre,,"hay que, vuelve a",,México,http://vimeo.com/58737488,,,,,,
Doctor Krapula,Buscando el amor,,,focus on the positive,Colombia,https://www.youtube.com/watch?v=d1dcXgGQT2M,,,,,,
Doctor Krapula,Exigimos,present subjunctive,exigir,demands for Colombia; respect the earth,Colombia,http://www.youtube.com/watch?v=XHed62umnvE&feature=player_embedded,,,,,,
Doctor Krapula,Solo soy,soy,,positive affirmation,Colombia,https://www.youtube.com/watch?v=-W22SD6Q2mU,,,,,,
Doctor Krápula ft Juanes,Amanece,,,más más amor more love,Colombia,http://www.youtube.com/watch?feature=player_embedded&v=YRxBzlzVuyU#!,,,,,,
"Domingo, Plácido","Madrid, Madrid ",,,Madrid,Spain,http://www.youtube.com/watch?v=7ghLFgMH5mg&feature=player_embedded,,,,,,
"Domínguez, Walter",A mí me gusta el rock,me gusta,,genres of music,Argentina,http://www.youtube.com/watch?v=uvcb5aCxaVU,,,,,,
Don Omar,Taboo   2010,,Lambada," 6,  Llorando se fue melody, beat",Puerto Rico,http://www.youtube.com/watch?v=lRWqYR3e7xE,,,,,,
Don Omar,Zumba,present progressive; object pronouns,,,Puerto Rico,http://www.youtube.com/watch?feature=player_embedded&v=8HpG0l9cLos,,,,,,
"Down, Sheila",Sheila Down,preterite/imperfect,,,Canada,https://www.youtube.com/watch?feature=player_embedded&v=a1dh3TLW9I0,,,,,,
"Downs, Lila",Cumbia del mole,,"foods, mole",2nd youtube link is a good video with images,México, http://www.youtube.com/watch?v=o9AMyLoMAmA;http://www.youtube.com/watch?v=K61yhtVNyRs&feature=related   ;  http://www.youtube.com/watch?v=K61yhtVNyRs&feature=related,,,,,,
"Downs, Lila",El Palomo del Comalito,,"food, colors","tortilla, grinding, Oaxaca",México,http://www.youtube.com/watch?v=8o6QUwsadP8,,,,,,
"Downs, Lila",La Llorona,,,Día de los muertos,México,http://www.youtube.com/watch?v=iq3dJgUyM_c&feature=related,,,,,,
"Downs, Lila","Perhaps, Perhaps, Quizás",,quizás,Spanish and English,México,http://www.youtube.com/watch?v=XcrPF6vD_Y4,,,,,,
"Downs, Lila con Celso Piña y Toto La Momposina",Zapata se queda,,,tribute to Emiliano Zapata and the Mexican Revolution ,México,http://www.youtube.com/watch?feature=player_embedded&v=beuRgIqxTnY,,,,,,
Dread Mar-I,Tú sin mi,,,,Argentina,http://www.youtube.com/watch?v=Ysz_H_iEW0A,,,,,,
"Drexler, Jorge",Al otro lado del río,participle,nature,Che Guevera,Uruguay,"from the movie Motorcycle Diaries, http://www.youtube.com/watch?v=5Cw7HtSHQgE; http://www.youtube.com/watch?v=yA4bHCozULU&feature=related",,,,,,
"Drexler, Jorge",Tres mil millones de latidos,ser/estar,nature,,Uruguay,http://www.youtube.com/watch?v=7F_ToQtzcCo,,,,,,
Dulce María,Inevitable,"present indicative, infinitives",,,Mexico,http://www.youtube.com/watch?v=YTrd9W9Zc90&feature=player_embedded#!,,,,,,
Dyland & Lenny ft. Pitbull,Sin Ti,,,English/Spanish cover of Aerosmith I don't want to miss a thing,Puerto Rico,http://www.youtube.com/watch?feature=player_embedded&v=WsvuJx8dwc4  ; lyrics version: http://www.youtube.com/watch?feature=player_embedded&v=m1YDd_JWB7Q,,,,,,
E.G.O.,Desde que te vi,,,,Perú,http://www.youtube.com/watch?v=fX-tiYUl-Dk,,,,,,
Efecto Pasillo,Hecho con tus suenos,,,,Spain,https://www.youtube.com/watch?v=tlYY8tCQk3c,,,,,,
Efecto Pasillo,No importa que llueva,subjunctive; reflexives; object pronouns,weather,,Spain,http://www.youtube.com/watch?feature=player_embedded&v=n9qU9kVc6jM,,,,,,http://www.youtube.com/watch?v=41yp98_E1Wc&feature=related
Efecto Pasillo,Pan y mantequilla,present indicative; yo/tu,,song for summer,Spain,https://www.youtube.com/watch?v=a5Hp4K0PwRQ,,,,,,
El Canto del Loco,Aquellos Años Locos,imperfect,,,Spain,http://www.youtube.com/watch?v=dBqwUQFHkaw,,,,,,
El Canto del Loco,Contigo,"prepositions contigo, sin",,,Spain,http://www.youtube.com/watch?v=9DUcYE00v1c ; http://www.youtube.com/watch?v=ZvsaVj3LjHY,,,,,,
El Canto del Loco,Por ti,uses of por,,,Spain,several home made videos available,,,,,,
El Cuarteto Continental,Llorando se fue,,Lambada," 2,  Llorando se fue melody, beat",Perú,http://www.youtube.com/watch?v=ypev85FT4GE,,,,,,
El Cuarteto de Nos,Me Amo,,,,Uruguay,http://www.youtube.com/watch?v=9Ce5eGKP39w,,,,,,
El Cuarteto de Nos,Ya no sé que hacer conmgio,preterite,,,Uruguay,http://www.youtube.com/watch?v=y9LlnLTH87U  ; http://www.youtube.com/watch?v=CA8b9BPoZr4,,,,,,
El Forever,Mi pais,,,Carlos Alberto (El Forever) sings a song about the good things in Venezuela,Venezuela,http://www.youtube.com/watch?v=wjNqCMOKAwA,,,,http://www.youtube.com/watch?v=pFpDPzdsyDQ,,
El Gran Combo,No hago ma' na,reflexive verbs,reflexive infinitives,,Puerto Rico,http://www.youtube.com/watch?v=HVTwvfEbPj4,,,,,,
El Gran Combo,Que le pongan salsa,,food,,Puerto Rico,http://www.youtube.com/watch?v=RG3iSSnHawI&feature=player_embedded,,,,,,
El Marchena,Con ese novio tan feo,"demonstrative, present",parts of body,repetitive chorus,Spain,http://www.youtube.com/watch?v=_zkjNINY-rM,,,,,,
El Marchena,Que me pongo,ponerse,clothing,,Spain,http://www.youtube.com/watch?v=WpWsIH4qxT8&feature=player_embedded,,,,,,
El Rey Leon,Yo voy a ser el rey leon,,,"Castilian version I just can't wait to be king, subtitled",U.S.,https://www.youtube.com/watch?feature=player_embedded&v=Q7THg3maOV0#at=15,,,,,,
El Rey León,Ciclo sin fin,,,,,http://www.youtube.com/watch?v=3yEDpdqafUk&feature=rec-LGOUT-exp_fresh+div-1r-3-HM,,,,,,
El Rey León,Hakuna Matata,,,,,http://www.youtube.com/watch?v=NJsus9BAqJE&feature=youtu.be,,,,,,
El Sie7e,Ya no estás,,,not to be confused with Sie7e from Puerto Rico,Colombia,http://www.youtube.com/watch?v=cwYBKbb3jBI,,,,,,
El Topo,Verde Luz,,,video of Puerto Rico,Puerto Rico,http://www.youtube.com/watch?v=J6PGshsNiMM&feature=related,,,,,,
El Toro Fernando,"El Toro Fernando, Ferdinand the Bull",,,,Spain,http://www.youtube.com/watch?v=K6Pp9-_Au80&feature=player_embedded#!,,,,,,
"Elera, Erik; Sanchez, Nathaniel; Gianmarco",Lejos de ti,,Inca Kola,Inca Kola song/advertisement,Peru,http://www.youtube.com/watch?feature=player_embedded&v=chkBBbIgK4M,,,,,,
Ella Baila Sola,Por Ti,por versus para,,,Spain,http://www.youtube.com/watch?v=inwTUvgZMiA&feature=player_embedded,,,,,,
En tus brazos,cortometraje de tango,,,,,http://www.youtube.com/watch?v=lP0kL-p-noQ&feature=player_embedded#at=25,,,,,,
Enanitos Verdes,A las tres,,Argentina,Immigration,,http://www.youtube.com/watch?feature=player_embedded&v=RREMRZ8MJMI#!,,,,,,
Enanitos Verdes,A las tres,,,Immigration,Argentina,https://www.youtube.com/watch?v=RREMRZ8MJMI,,,,,,
Enanitos Verdes,Amigos,,friends,,Argentina,http://www.youtube.com/watch?v=NVeoFMtENzk,,,,,,
Enrique,Camarero,present progressive,,,Venezuela,http://www.youtube.com/watch?v=tKyRTCtpBt4&feature=player_embedded,,,,,,
Enrique,Camarero,present progressive,,,Spain,http://www.youtube.com/watch?feature=player_embedded&v=tKyRTCtpBt4,,,,,,
"Enrique, Luis",Autobiografía,,,Immigration,Nicaragua,http://www.youtube.com/watch?v=vquPkDRtO_g;  http://www.youtube.com/watch?v=mSwJmIVZ2I0,,,,,,
Erre XI ft. Pee Wee,Carita Bonita,"present subjunctive, future",,,Puerto Rico,http://www.youtube.com/watch?v=fRTND4Mhv7U&ob=av2e,,,,,,
Escats,Recomenzar,present subjunctive,,,Costa Rica,http://www.youtube.com/watch?v=Vcyx2-eWlQs,,,,,,
"Estefan, Gloria",Con los años que me quedan,"many tenses, especially future",,very slow,U.S./Cuba,http://www.youtube.com/watch?v=N5shUacpm0E&feature=related,,,,,,
"Estefan, Gloria",Conga,,,concert video,"Cuba, U.S.",http://www.youtube.com/watch?v=4tbdJBoiepQ,,,,,,
"Estefan, Gloria",Hoy,present subjunctive: para que,"pintar, acuarela, norte, sur",,U.S./Cuba,http://www.youtube.com/watch?v=LgTDv7CYM7E,,,,,,
"Estefan, Gloria",Mi Tierra,present indicative,,,"Cuba, U.S.",http://www.youtube.com/watch?v=44oqk_BV-ek,,,,,,
"Estefan, Gloria",No llores,familiar commands,,,"U.S., Cuba", http://www.youtube.com/watch?v=6zU0IqwJXbQ;http://www.youtube.com/watch?v=pEZkEjsamiU&feature=related,,,,,,
"Estefan, Gloria",No llores,"present subjunctive, familiar commands",dejar,,"Cuba, U.S.",http://www.youtube.com/watch?v=O8T1dlz8Wm0&feature=fvst,,,,,,
"Estefan, Gloria",Oye (Spanish version),,pedir,mi cuerpo pide salsa; video may be too much for high school,"Cuba, U.S.",http://www.youtube.com/watch?v=5PUuD06VIVg&ob=av2n,,,,,,
"Estefan, Gloria",Oye mi canto,tener que,oye,,"Cuba, U.S.",http://www.youtube.com/watch?v=sgzguCY79bA&feature=relmfu,,,,,,
"Estefan, Gloria",Wepa,,,English/Spanish,"Cuba, U.S.",http://www.youtube.com/watch?v=Nrn8g5agB6Q&feature=related  ; http://www.youtube.com/watch?v=msrTOkJbCpE,,,,,,
Esteman,De Otro Planeta,"present indicative, irregular verbs, tengo, vengo, hago, soy, voy, traigo, veo",,,Colombia,http://www.youtube.com/watch?feature=player_embedded&v=a2uogKe-t9w,,,,,,
Esteman,El Distractor,,,,Colombia,http://www.youtube.com/watch?v=yK3pjpVDZMg,,,,,,
Esteman,El Pimentón Acústico,,,real name: Esteban Mateus Williamson,Colombia,http://www.youtube.com/watch?v=orn3jnlbBwI&feature=player_embedded#!,,,,,,
Esteman,La Cosita Tropical,,,his band is called Esteband,Colombia,http://www.youtube.com/watch?v=-MVgGWdoGrE&feature=player_embedded#!,,,,,,
Esteman,No te metas a mi Facebook,,social media,real name: Esteban Mateus Williamson,Colombia,http://www.youtube.com/watch?v=ASU0oadRcxs&feature=player_embedded,,,,,,
Esteman,Pobre corazón,object pronouns,"aguanta, cicatriz, dolor, heridas",,Colombia,http://www.youtube.com/watch?v=34bM4ZP9Z28&feature=related,,,,,,
Esteman,Se nos perdió,preterite,,,Colombia,http://www.youtube.com/watch?v=Sbrzh65lRQo&feature=related,,,,,,
Esteman ft. Andrea Echeverri,Aquí estoy yo,,,,Colombia,http://www.youtube.com/watch?feature=player_embedded&v=1WDwRxYWQzU,,,,,,
Esteman ft. Monsieur Perineé,True Love,,,English,Colombia,http://www.youtube.com/watch?v=3TroxR5DpXI&feature=related,,,,,,
Estephy ft. Chino y Nacho,Dime si tu (She's in love),,love,,Venezuela,http://www.youtube.com/watch?v=K52FCQnz7Ms,,,,,,
Estopa,La Raja de tu falda,,,,,http://www.youtube.com/watch?v=wECwsE4yNSQ,,,,,,
Expulsados ,Vamos ,nosotros commands,,,Argentina,http://www.youtube.com/watch?v=ocQAH0en9bw,,,,,,
Farruko ft. José Feliciano,Su hija me gusta,te versus le (informal/formal),,,Puerto Rico,http://www.youtube.com/watch?v=AUVhH-SqRt8,,,,,,
"Fernádez, Pedrito",La de la mochila azul,,,school,México,http://profespagnol.blogspot.com/search/label/la%20escuela,,,,,,
"Fernandez, Pedro",Yo no fui,,,,México,https://www.youtube.com/watch?v=8xgR_WsK7ng,,,,,,
"Ferrer, Ibrahim & Portuondo, Omara","Quizás, Quizás, Quizás",,,,Cuba,http://www.youtube.com/watch?v=SEQpp2xvWY0&feature=related  ;  http://www.youtube.com/watch?v=ZSEiyF64z3o&feature=related,,,,,,
"Ferrería, Márcia","Llorando se fue,  Chorando se foi   1986",,Lambada," 3,  Llorando se fue melody, beat",Brasil,http://www.youtube.com/watch?v=NcvqDI4TL6o,,,,,,
"Ferro, Tiziano",La diferencia entre tú y yo,,,tu y yo  Spanish I,Italia,https://www.youtube.com/watch?v=e-o-U7er7qM,,,,,,
Fidel,Hoy te vine a buscar,,,Immigration,Argentina,https://www.youtube.com/watch?v=ZyhsbehNIpA#t=22,,,,,,
Fito y Fitipaldis,Acabo de llegar,many tenses,,,Spain,http://www.youtube.com/watch?v=hBkFZtVNsTY,,,,,,
Fito y Fitipaldis,Antes de que cuente 10,many tenses ,,,Spain,http://www.youtube.com/watch?v=ALcJWC8aMxw&a=GxdCwVVULXf5pO2bW5kKBQbizttoCwKZ,,,,,,
Fito y Fitipaldis,Me equivocaría otra vez,"many tenses, conditional, subjunctive (adverbial)",,,Spain,http://www.youtube.com/watch?v=TPHayYLhesQ&feature=related,,,,,,
Flex  (DJ),Si tú te vas con él,preterite,,,Panamá,http://www.youtube.com/watch?v=cg3cVQQMrJQ,,,,,,
Flex  (DJ),Te quiero`,"present, preterite, infinitives",love,,Panamá,http://www.youtube.com/watch?v=nYHxAoxQpyY,,,,,,
Fonseca,Como me mira,"gerunds, object pronouns",,,Colombia,http://www.youtube.com/watch?v=c32U8GXwZ4g,,,,,,
Fonseca,Eres mi sueno,,,performed on Avianca plane,Colombia,https://www.youtube.com/watch?feature=player_embedded&v=9x9yUkheLV0,,,,,,
Fonseca ,Eres mi sueno live on Times Square,,,,Colombia,https://www.youtube.com/watch?feature=player_embedded&v=iwgt-6bSwVs,,,,,,
"Fonsi, Luis",Aquí estoy yo,"gerunds, location of object pronouns",,,Puerto Rico,http://www.youtube.com/watch?v=EsfSuL-VFBw,,,,,,
"Fonsi, Luis",Claridad,"familiar commands, affirmative and negative",,,Puerto Rico,http://www.youtube.com/watch?v=KbB0zAkWTVk&feature=player_embedded    http://www.youtube.com/watch?v=MvDaL_D4fZQ&ob=av2e,,,,,,
"Fonsi, Luis",Corazón en la maleta,preterite,travel transportation,lyric video,Puerto Rico,https://www.youtube.com/watch?v=kY9L8rd-2eM  ;  ,,,,,,
"Fonsi, Luis",Corazón en la maleta,preterite,travel,official video ,Puerto Rico,https://www.youtube.com/watch?v=oX0jcZQ16ew,,,,,,
"Fonsi, Luis",Gritar,infinitives ; many tenses,,,Puerto Rico,http://www.youtube.com/watch?v=WTg1EvLMlv8,,,,,,
"Fonsi, Luis",Me gustas tú,"me gusta, infinitives",,,Puerto Rico,http://www.youtube.com/watch?v=cX73SMiG6jQ  ; http://pinterest.com/pin/225391156323576437/,,,,,,
"Fonsi, Luis",No me doy por vencido,,expression: no me doy por vencido,,Puerto Rico,http://www.youtube.com/watch?v=8hRGBcr_gJc&feature=related,,,,,,
"Fonsi, Luis",Respira,present indicative; object pronouns,,positive message,Puerto Rico,http://www.youtube.com/watch?v=yEM-3yMI6yc,,,,,,
Franco y Oscarcito,Pa' que lo tengas claro,,estoy loco,,Venezuela,http://www.youtube.com/watch?v=rXCvoQX1x4w,,,,,,
Frankie J,Tienes que creer en mí,present tenses,tienes miedo; tienes que,,México,http://www.youtube.com/watch?feature=player_embedded&v=3KvaUvwQno0,,,,,,
Frankie J,Tienes que creer en mí,"tener que + infinitive, future",tener miedo,former member of Kumbia Kings,México,http://www.youtube.com/watch?v=3KvaUvwQno0&feature=branded,,,,,,
"Frozen:  Olaf, the snowman",Verano,,"weather, seasons",from the Disney movie Frozen,U.S.,https://www.youtube.com/watch?v=CAU2hR9Oqb8,,,,,,
Frozen: Ana,Hame un muñeco de nieve,,,from the Disney movie Frozen,U.S.,https://www.youtube.com/watch?v=J_hN5PNEXIM,,,,,,
Frozen: Elsa,"Libre soy, Let it go ",,,from the Disney movie Frozen,U.S.,https://www.youtube.com/watch?v=OUpZt6yksCs,,,,,,
Frozen: Elsa,Suéltalo Let it go,,,"from the Disney movie Frozen, with letras",U.S.,https://www.youtube.com/watch?v=Xmjzt1fnsew,,,,,,
Fruko y sus tesos,El emigrante latino,,,Immigration,colombia,https://www.youtube.com/watch?v=g1D8r_OC6Ks#t=43,,,,,,
Fruko y sus tesos,Qué le pasa a Lupita (mambo),,,mambo,Colombia,https://www.youtube.com/watch?v=Ww9i4PFQZIY,,,,,,
Funambulista,Cosas que no quise decirte,"gerunds, present perfect, past subjunctive",,,Spain,http://www.youtube.com/watch?v=OHxnS-ZAGG8,,,,,,
"Furtado, Nelly",Bajo otra luz,"future, many tenses",,,Canada,duet with Mala Rodriguez;http://www.youtube.com/watch?v=f31gBSZDz0Q&feature=related;   http://www.youtube.com/watch?v=tdsJoI22J_Q,,,,,,
"Furtado, Nelly",Como lluvia,,"lluvia, agua, fría, orillas, huesos",,Canada,duet with Juan Luis Guerra; http://www.youtube.com/watch?v=42RoYaMRcuY&feature=related;  http://www.youtube.com/watch?v=mAimAt5dwy4&feature=related,,,,,,
"Furtado, Nelly",Con manos al aire,,,,Canada,http://www.youtube.com/watch?v=SWM2twx7ifc&feature=related,,,,,,
"Furtado, Nelly",Todo lo bueno (tiene un final),,,,Canada,http://www.youtube.com/watch?v=xh_52M7KbOo&feature=related,,,,,,
"Furtado, Nelly con Juanes",Te busqué,preterite,,,Canada/Colombia,http://www.youtube.com/watch?v=e00axXZX18c,,,,,,
Fútbol,"Barca, Barca, Barca",,,,Spain,http://www.youtube.com/watch?v=OkkoByI_ilE&feature=related,,,,,,
Fútbol,"Barca, Barca, Barca",,,in Catalan with English subtitles,Spain,http://www.youtube.com/watch?v=EzI6px6OOEU&feature=related,,,,,,
Fútbol,Hala Madrid  (modern version),,,,Spain,http://www.youtube.com/watch?v=eQ3LFnOnPcs&feature=related,,,,,,
Fútbol,La canción de Casillas,,,,Spain,http://www.youtube.com/watch?v=5CHhtvFjU7Y&sns=em,,,,,,
Fútbol,La canción de David Villa,,,,Spain,http://www.youtube.com/watch?v=n1l0YqB7vGU&feature=related,,,,,,
Fútbol,La canción de Iniesta,,,,Spain,http://www.youtube.com/watch?v=EQl7rGbfOBA&feature=fvwrel,,,,,,
Fútbol,La canción de Messi,,,,,http://www.youtube.com/watch?v=dtAegd3SBw0&feature=related,,,,,,
Fútbol,La canción de Xavi,,,,Spain,http://www.youtube.com/watch?v=7gQusxFhdxs&feature=related,,,,,,
Fútbol,"Messi y su canción, cantada por Celeste",,,,,http://www.youtube.com/watch?v=WEFE8BcAazc&feature=related,,,,,,
Fútbol,"We are one   Ole, Ola",,,"FIFA 2014  official song, not official recording but good video",,https://www.youtube.com/watch?v=lSUwGM38dP8,,,,,,
"Galindo, Gustavo",Amor de Alta Mar,,,,U.S./Mexico,http://www.youtube.com/watch?v=H8tbXoJmsQ0,,,,,,
"Galindo, Gustavo",Barco de Papel,,,,México/U.S.,http://www.youtube.com/watch?v=7PntqCgATO8 ; ,,,,,,
"Galindo, Gustavo",Canción pa'l norte,,,,México/U.S.,http://www.youtube.com/watch?v=C3wxHsdcHsk,,,,,,
"Galindo, Gustavo",Te perdí,"pretérito, futuro",,,México/U.S.,http://www.youtube.com/watch?v=Yj_PjFcBVI4&feature=fvw,,,,,,
Gangnam Style,Gangnam Style in Spanish,,,,Spain,http://www.youtube.com/watch?feature=player_embedded&v=f3AQxVClaGY,,,,,,
"Garcia, Kany",Estigma de amor,"future, preterite",,,Puerto Rico,http://www.youtube.com/watch?v=2Nl4ZS3UKZQ,,,,,,
"García, Kany",Alguien,que + adjective,alguien,,Puerto Rico,http://www.youtube.com/watch?v=QeYK59vx_oE&feature=player_embedded,,,,,,
"García, Kany",Esta vida tuya y mía,possessive adjectives,,,Puerto Rico,several home made videos available,,,,,,
"García, Kany",Feliz,,emotions,,Puerto Rico,http://www.youtube.com/watch?v=5NdC5TivMSQ,,,,,,
"García, Kany",Hoy ya me voy,many tenses,,good for Span. IV looking at all tenses,Puerto Rico,http://www.youtube.com/watch?v=8bAfqhjQTb4,,,,,,
"García, Kany",Para volver a amar,por/para; gerunds,,,Puerto Rico,http://www.youtube.com/watch?v=MU2Oo9zDEU8,,,,,,
"García, Kany",Que te vaya mal,"multiple tenses, present subjunctive, conditional, preterite","mentiroso, embustero, traicionero, traidor…",quiero que te vaya mal,Puerto Rico,http://www.youtube.com/watch?v=j1Ht6qG9-D8,,,,,,
Georgina,Con solo una mirada,many tenses,,"Georgina León, goes by only Georgina",Spain?,http://www.youtube.com/watch?v=ynqkQs92Gpc,,,,,,
Gepe,Alfabeto,,,real name is Daniel Riveros; very strange video,Chile,http://www.youtube.com/watch?v=NFNDKsTtFXw,,,,,,
Gepe,Hallelujah,,,The Cohen song in Spanish,Chile,https://www.youtube.com/watch?feature=player_embedded&v=auVYjQAx1-U,,,,,,
Gepe,Un día ayer,infinitives,,folk/pop; strange video,Chile,http://www.youtube.com/watch?v=k5CQ20m2IX4&feature=related,,,,,,
Gerson feat Bloque,Lo que ella quiere,"future, present subjunctive",volverse loco,parts of video inappropriate,Dominican Republic,http://www.youtube.com/watch?v=WvtFDLPrfYM,,,,,,
"Gieco, Leon",Dice el inmigrante,,,Immigration,Argentina,https://www.youtube.com/watch?v=wD7vdyYW-Ww#t=32,,,,http://www.youtube.com/watch?v=kI5cEAa5ITU,,
Gipsy Kings,A mi manera,,,,Spain/Saudia Arabia,http://www.youtube.com/watch?v=6mhkNyaUYtQ,,,,,,
Gipsy Kings,Bailame,,,,Spain/Saudia Arabia,http://www.youtube.com/watch?v=LweA7NLPB0c,,,,,,
Gipsy Kings,Bamboleo,,,"just a great dance song, lyrics don't make much sense","France (fled Catalonia, Spain)",http://www.youtube.com/watch?v=PTrIFMVKQD8,,,,,,
Gipsy Kings,Bamboleo,,,,"France (fled Catalonia, Spain)",http://www.youtube.com/watch?v=mifnMC_Kn1Q&feature=related,,,,,,
Gipsy Kings,Djobi Djoba,,,great guitar,"France (fled Catalonia, Spain)",http://www.youtube.com/watch?v=Z6mwKG8FOAw&feature=related,,,,,,
Gipsy Kings,Volare,"future; object pronoun ""me""",,"Spanish, Italian",Spain,http://www.youtube.com/watch?feature=player_embedded&v=tW7W8w9UtxU,,,,,,
Gisela,"Libre soy, Let it go ",,,,Spain,https://www.youtube.com/watch?v=GtXi-nSEG-U,,,,,,
Giulia y los Tellarini,Barcelona   (City Guide),,,Barcelona,Spain,http://www.youtube.com/watch?v=Fq6qtLjhwKo&feature=player_embedded,,,,,,
Gocho,Si te digo la verdad,object pronouns,"doler, querer",,México,http://www.youtube.com/watch?v=YNZX42-734I,,,,,,
Gocho ,Si te digo la verdad,present indiciative,duele,,,http://www.youtube.com/watch?v=YNZX42-734I&feature=player_embedded,,,,,,
Golpe a Golpe,Estar enamorado,,,,Colombia,http://www.youtube.com/watch?v=BN7TWyDTBvc&feature=fvst,,,,,,
"Gómez, Selena and The Scene",Dices,"present indicative, decir",,"positive message, image",United States,http://www.youtube.com/watch?v=FOCQLla2J14,,,,,,
"Gómez, Selena and The Scene",Dices,,,,U.S.,http://www.youtube.com/watch?v=_96fwXyUaaU&feature=related,,,,,,
"Gómez, Selena and The Scene",Un Año Sin Lluvia,,,,U.S.,http://www.youtube.com/watch?v=vaoPovB40dQ&feature=related,,,,,,
"Gonzales, Eiza",Todavía,"present indicative, object pronouns","cada vez, todavía",,Mexico,http://www.youtube.com/watch?v=vhDaub4iWms,,,,,,
Gotan Project,La Gloria,,,commentary from Victor Hugo Morales,Argentina,http://www.youtube.com/watch?v=FFzk_MX1DCo,,,,,,
Gotan Project,La Gloria,,,"tango music electrified, commentator is Victor Hugo Morales",Argentina,http://www.youtube.com/watch?v=FFzk_MX1DCo,,,,,,
Gotan Project,Milongo de mi amor  (Santa Maria),,,electrified tango,Argentina,http://www.youtube.com/watch?v=T9Sdf176McE&feature=related,,,,,,
Gotan Project,Rayuela,,,tango danced by youth; rayuela: hopscotch,Argentina,https://www.youtube.com/watch?v=Zf6J-Hg_YWo,,,,,,
Gotan Project ,Santa María,,,,Argentina,http://www.youtube.com/watch?v=ZA9DEHaOLqQ&feature=player_embedded,,,,,,
"Grace, Leslie",Day 1,preterite,,Spanish/English,Dominican Republic,http://www.youtube.com/watch?v=YeU1Zeuj73A&feature=player_embedded#!,,,,,,
"Grace, Leslie",De Fiesta,,,Navidad,Dominican Republic,http://www.youtube.com/watch?feature=player_embedded&v=TF1yidl10OA,,,,,,
Grupo Musicalizando,Poema 15  Me gusta cuando callas,,,Pablo Neruda (Chile),Colombia,http://www.youtube.com/watch?v=1rpNL-3Mu-g&feature=related,,,,,,
Grupo S.B.S.,Ritmo Vuelta,gustar,,video may be questionable; just use audio?,Cuba,https://www.youtube.com/watch?feature=player_embedded&v=qMkkzeY0S-U#at=11,,,,,,
Grupo S.B.S.,Sigue al lider/Follow the leader,,directional words,,Cuba,http://www.youtube.com/watch?v=Lw8sIuKMcJw,,,,,,
Grupo Scherzo,Las Calaveras,,,Dia de los muertos,México,https://www.youtube.com/watch?feature=player_embedded&v=ZpqoO7LkgF0,,,,,,
Grupo Treo,Enamorarte,"infinitives, object pronouns","ven, me encanta","good, fun video",Venezuela,http://www.youtube.com/watch?v=R_cdXltVO08,,,,http://www.youtube.com/watch?v=nfhQZjk5tPE,,
Grupo Treo,No puedo,"infinitives, object pronouns",,,Venezuela,"audio only http://www.youtube.com/watch?v=BUJ71qltUSYpoor audio, liveperformance http://www.youtube.com/watch?v=8HrcqyU5rzI&feature=related",,,,,,
Grupo Treo,Pégate,Affirmative commands,,probably can't use video in class,Venezuela,http://www.youtube.com/watch?v=tV_vkUAM_6o,,,,,,
Grupo Yndio,Melodía Desencadenada,,,Unchained Melody in Spanish,México?,http://www.youtube.com/watch?v=MRrViiJebMk&feature=related,,,,http://www.youtube.com/watch?v=tLcfAnN2QgY,,
